price,rooms,area,floor,total_floors,year,building_type_кирпичный,building_type_монолитный,building_type_панельный
62000000,3,72.1,6.0,8.0,1988.0,0,0,1
62000000,4,83.0,5.0,5.0,1989.0,0,0,1
126100000,3,97.0,5.0,5.0,2019.0,0,1,0
38500000,2,77.0,8.0,10.0,2022.0,0,1,0
51000000,2,77.0,3.0,10.0,2021.0,0,1,0
36000000,2,52.9,9.0,9.0,2021.0,0,1,0
41500000,2,76.0,5.0,12.0,2026.0,0,1,0
38500000,1,39.7,1.0,13.0,2024.0,0,1,0
21800000,1,39.0,4.0,6.0,2009.0,0,1,0
34000000,3,63.5,6.0,7.0,2025.0,0,0,0
28500000,2,43.0,6.0,6.0,2022.0,0,1,0
26500000,1,33.0,3.0,5.0,1989.0,1,0,0
39500000,2,48.4,3.0,5.0,2021.0,0,1,0
57000000,2,79.2,2.0,6.0,2013.0,0,1,0
38500000,2,67.0,6.0,9.0,2010.0,0,1,0
65000000,3,67.0,4.0,5.0,1993.0,1,0,0
50000000,3,61.0,2.0,4.0,1972.0,0,0,1
60000000,2,70.5,10.0,16.0,2015.0,0,1,0
21000000,1,40.0,7.0,9.0,2026.0,0,1,0
55000000,3,85.0,8.0,9.0,2021.0,0,1,0
47500000,2,45.0,6.0,6.0,2026.0,0,1,0
49500000,2,44.0,6.0,6.0,2026.0,0,0,0
43000000,3,73.0,5.0,6.0,2022.0,0,0,0
43000000,2,61.1,2.0,5.0,1986.0,0,0,1
18500000,1,39.0,5.0,6.0,2008.0,0,1,0
136000000,2,85.1,6.0,7.0,2025.0,0,1,0
80000000,3,93.6,2.0,3.0,2024.0,0,1,0
70000000,2,72.4,16.0,16.0,2015.0,0,1,0
69500000,3,76.0,12.0,16.0,2023.0,0,1,0
21500000,1,31.7,2.0,4.0,1965.0,1,0,0
45000000,2,50.2,8.0,13.0,2025.0,0,1,0
29000000,1,30.6,5.0,5.0,1978.0,0,0,1
40000000,2,52.1,10.0,15.0,2012.0,0,1,0
145000000,4,138.0,2.0,3.0,2020.0,0,1,0
60000000,4,92.0,1.0,5.0,1990.0,0,0,1
